RI_URL,CRN,PrimaryNameOfOrganization,City,Province,RankingAssets
http://www.themastercardfoundation.org,817387277RR0001,MASTERCARD FOUNDATION,TORONTO,ON,1
http://www.solitudenaturereserve.com/,844636605RR0001,PHIL MCNAMEE CHARITABLE FOUNDATION,GRAND BEND,ON,2
http://www.azrielifoundation.org,892425166RR0001,THE AZRIELI FOUNDATION LA FONDATION AZRIELI,MONTREAL,QC,3
https://www.fondationchagnon.org/en/index.aspx,867363640RR0001,FONDATION LUCIE ET ANDR� CHAGNON LUCIE AND ANDR� CHAGNON FOUNDATION,MONTREAL,QC,4
http://www.jcfmontreal.org,118974179RR0001,JEWISH COMMUNITY FOUNDATION OF MONTREAL LA FOUNDATION COMMUNAUTAIRE JUIVE DE MONTREAL,MONTREAL,QC,5
http://www.wpgfdn.org/,119300960RR0001,THE WINNIPEG FOUNDATION,WINNIPEG,MB,6
https://www.fcm.ca/en,734668890RR0001,GREEN MUNICIPAL FUND,OTTAWA,ON,7
www.vancouverfoundation.ca,119281640RR0001,VANCOUVER FOUNDATION,VANCOUVER,BC,8
https://www.sickkidsfoundation.com,108084419RR0001,THE HOSPITAL FOR SICK CHILDREN FOUNDATION,TORONTO,ON,9
https://giftfunds.com/,896713500RR0001,CHARITABLE GIFT FUNDS CANADA FOUNDATION FONDS DE BIENFAISANCE CANADA,KINGSTON,ON,10
http://www.calgaryfoundation.org,108074436RR0001,THE CALGARY FOUNDATION,CALGARY,AB,11
https://www.lksf.org/locations/canada/,857269971RR0001,LI KA SHING (CANADA) FOUNDATION,TORONTO,ON,12
https://www.tgwhf.ca/,123864068RR0001,UHN FOUNDATION,TORONTO,ON,14
https://thepmcf.ca/Home,889007597RR0001,THE PRINCESS MARGARET CANCER FOUNDATION,TORONTO,ON,16
http://www.cssd.ab.ca,106831118RR0004,THE CALGARY ROMAN CATHOLIC SEPARATE SCHOOL DIVISION,CALGARY,AB,18
https://torontofoundation.ca/,136491875RR0001,TORONTO FOUNDATION,TORONTO,ON,19
https://www.td.com/ca/products-services/investing/privategiving-index.jsp,857210744RR0001,PRIVATE GIVING FOUNDATION,TORONTO,ON,20
https://www.ecfoundation.org/,122437072RR0001,THE EDMONTON COMMUNITY FOUNDATION,EDMONTON,AB,21
https://mcconnellfoundation.ca/,119240091RR0001,THE J W MCCONNELL FAMILY FOUNDATION - LA FONDATION DE LA FAMILLE J W MCCONNELL,MONTREAL,QC,23
https://www.jewishfoundationtoronto.com/,108155797RR0002,JEWISH FOUNDATION OF GREATER TORONTO,TORONTO,ON,24
